0	25923.5
1	23564.7
10	23538.5
16	21911
122	21748.8
366	20958
509	20866.1
1888	20752.9
4269	19995.3
21919	19894.4
90915	19333
121439	19038.7
133333	19007.6
419272	18958.9
696681	18832.4
1908426	18668.5
6328126	18244.9
7326114	18001.8
13275981	17857.1
18356190	17812.8
37811859	17784.1
45272211	17398.5
126964112	16687.6
804 430
608 220
239 578
261 950
727 887
501 947
677 862
710 861
933 988
992 962
901 685
955 764
885 874
519 938
737 619
724 502
474 169
420 295
682 86
112 956
45 557
170 694
225 609
772 97
372 794
31 526
381 145
284 790
340 771
362 829
237 976
405 358
412 810
470 898
145 504
494 523
542 553
992 109
723 208
255 419
190 555
879 270
621 295
240 227
147 240
24 480
242 383
303 20
684 344
775 477

